"data";"numerodias";"alturamediaanterior";"mstotalanterior";"tmin";"dptmin";"vartmin";"tmed";"dptmed";"vartmed";"tmax";"dptmax";"vartmax";"umidade";"dpumidade";"varumidade";"velocidadevento";"dpvelocidadevento";"varvelovidadevento";"radiacaosolar";"dpradiacaosolar";"varradiacaosolar";"chuva";"dpchuva";"varchuva";"somatermica";"dpsomatermica";"varsomatermica";"def";"dpdef";"vardef";"exc";"dpexc";"varexc";"taxaacumulo"
"2014-01-24";"35";"34.61";"3325.36";"19.34";"2.44";"5.96";"24.73";"3.05";"9.28";"31.20";"3.68";"13.58";"69.75";"12.96";"167.94";"1.57";"1.57";"2.48";"573.20";"9.01";"81.22";"249.60";"23.80";"566.65";"366.50";"2.80";"7.84";"18.91";"0.88";"0.77";"165.16";"21.66";"469.13";"4561.24"
"2014-03-10";"45";"36.50";"3878.14";"18.36";"3.30";"10.90";"22.58";"3.28";"10.75";"28.30";"4.12";"16.97";"77.63";"6.85";"46.99";"1.67";"1.55";"2.40";"976.20";"7.75";"60.10";"285.40";"10.73";"115.22";"613.25";"3.48";"12.08";"24.24";"0.58";"0.34";"137.33";"7.77";"60.31";"6414.98"
"2014-04-18";"39";"46.79";"5671.10";"15.56";"3.86";"14.88";"19.76";"3.18";"10.11";"25.14";"3.64";"13.25";"78.34";"7.09";"50.32";"1.44";"1.50";"2.25";"651.60";"7.18";"51.50";"286.60";"18.17";"330.31";"413.95";"3.34";"11.14";"13.49";"0.38";"0.15";"183.47";"15.51";"240.46";"6081.67"
"2014-05-19";"31";"38.92";"5671.10";"11.62";"3.33";"11.11";"15.97";"2.11";"4.46";"21.57";"2.09";"4.38";"81.38";"6.20";"38.42";"0.66";"1.10";"1.21";"391.20";"4.86";"23.58";"47.00";"3.33";"11.12";"268.00";"2.64";"6.96";"4.17";"0.11";"0.01";"1.61";"0.20";"0.04";"5179.90"
"2014-06-16";"28";"34.28";"5477.24";"7.90";"3.70";"13.65";"12.34";"2.50";"6.26";"17.33";"2.65";"7.03";"79.74";"6.93";"48.05";"1.33";"1.40";"1.97";"230.40";"4.52";"20.41";"42.20";"4.00";"16.02";"132.90";"1.67";"2.79";"2.34";"0.08";"0.01";"16.34";"2.13";"4.52";"3832.61"
"2014-08-05";"50";"23.14";"3380.39";"10.00";"5.31";"28.15";"13.99";"4.52";"20.43";"18.13";"4.12";"16.95";"78.07";"8.08";"65.29";"2.64";"2.09";"4.35";"437.70";"4.81";"23.14";"276.40";"12.74";"162.35";"314.40";"3.36";"11.26";"3.02";"0.07";"0.00";"216.81";"10.71";"114.76";"2590.72"
"2014-09-16";"42";"24.19";"1871.13";"9.42";"4.85";"23.49";"14.28";"4.17";"17.43";"20.38";"4.86";"23.60";"76.16";"9.99";"99.89";"3.56";"1.80";"3.25";"608.70";"6.03";"36.36";"161.20";"10.91";"118.99";"329.90";"3.55";"12.58";"13.07";"0.38";"0.14";"87.62";"8.85";"78.36";"3862.37"
"2014-10-23";"37";"18.25";"3800.57";"12.61";"3.26";"10.61";"16.98";"2.40";"5.75";"22.15";"3.04";"9.22";"78.43";"7.73";"59.79";"3.79";"1.37";"1.87";"670.80";"8.94";"79.87";"223.40";"12.04";"145.03";"325.30";"2.42";"5.84";"7.72";"0.24";"0.06";"141.64";"9.60";"92.12";"3601.21"
"2014-12-03";"41";"21.55";"2321.18";"15.69";"3.04";"9.26";"21.04";"2.47";"6.10";"27.01";"3.58";"12.81";"72.29";"9.77";"95.38";"3.52";"1.31";"1.71";"1015.80";"8.99";"80.90";"281.00";"16.29";"265.35";"476.65";"2.62";"6.85";"52.75";"1.23";"1.52";"150.50";"13.31";"177.16";"5225.82"
"2015-01-19";"47";"40.61";"5412.26";"17.66";"2.99";"8.91";"22.50";"2.31";"5.34";"28.45";"3.21";"10.31";"74.30";"10.13";"102.56";"3.23";"1.15";"1.32";"1147.60";"9.30";"86.41";"293.60";"11.68";"136.45";"626.65";"2.55";"6.49";"26.96";"0.63";"0.39";"117.96";"6.40";"40.99";"6414.98"
"2015-02-24";"36";"31.27";"5582.91";"17.70";"2.47";"6.12";"22.72";"1.93";"3.71";"29.01";"2.41";"5.79";"75.99";"5.22";"27.27";"3.27";"0.83";"0.69";"899.60";"6.20";"38.48";"105.40";"6.72";"45.16";"494.15";"2.12";"4.51";"39.43";"0.77";"0.60";"10.94";"1.80";"3.23";"6414.98"
"2015-03-25";"29";"27.74";"5671.10";"16.96";"3.39";"11.46";"22.50";"2.48";"6.14";"29.16";"2.57";"6.62";"74.11";"5.02";"25.23";"2.92";"0.76";"0.57";"652.50";"4.72";"22.26";"44.40";"6.99";"48.86";"391.90";"2.66";"7.06";"49.75";"0.84";"0.71";"8.86";"1.62";"2.62";"6414.98"
